Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
LAC260605C00006500,LAC260605C00006500,BUY,FILLED,30,30,@0.14,0.14,DAY,2026-06-02T13:32:22.533Z,2026-06-02T13:32:29.558Z
MRAM260618C00055000,MRAM260618C00055000,BUY,FILLED,10,10,@1.05,1.05,DAY,2026-06-01T18:11:22.640Z,2026-06-01T18:11:22.676Z
MSTR260612P00140000,MSTR260612P00140000,SELL,FILLED,1,1,@2.74,2.74,DAY,2026-06-01T17:45:38.226Z,2026-06-01T17:45:39.200Z
MU260612C01340000,MU260612C01340000,BUY,FILLED,1,1,@11.1,11.1,DAY,2026-06-01T16:24:59.173Z,2026-06-01T16:25:02.250Z
MSTR260612P00140000,MSTR260612P00140000,BUY,FILLED,1,1,@3.4,3.4,DAY,2026-06-01T15:57:56.222Z,2026-06-01T15:58:04.726Z
INFQ260618C00020000,INFQ260618C00020000,SELL,FILLED,5,5,@1.65,1.65,DAY,2026-06-01T15:56:53.330Z,2026-06-01T15:56:57.452Z
FLNC260618C00034000,FLNC260618C00034000,SELL,FILLED,2,2,@1.1,1.1,DAY,2026-06-01T15:53:34.154Z,2026-06-01T15:53:38.515Z
FLNC260618C00034000,FLNC260618C00034000,BUY,FILLED,2,2,@1.3,1.22,DAY,2026-06-01T15:26:06.635Z,2026-06-01T15:26:06.770Z
INFQ260618C00020000,INFQ260618C00020000,BUY,FILLED,5,5,@1.7,1.66,DAY,2026-06-01T15:19:29.283Z,2026-06-01T15:19:29.468Z
IREN260612C00073000,IREN260612C00073000,BUY,FILLED,5,5,@2.87,2.87,DAY,2026-06-01T15:04:26.533Z,2026-06-01T15:04:26.588Z
IREN260618C00057000,IREN260618C00057000,BUY,FILLED,3,3,@9.85,9.85,DAY,2026-06-01T14:52:00.711Z,2026-06-01T14:52:09.687Z
AVGO260612C00495000,AVGO260612C00495000,BUY,FILLED,1,1,@11,11,DAY,2026-06-01T14:24:05.991Z,2026-06-01T14:24:06.042Z
NVDA260615C00230000,NVDA260615C00230000,BUY,FILLED,2,2,@4.5,4.3,DAY,2026-06-01T14:22:13.165Z,2026-06-01T14:22:13.201Z
CRWV260605C00125000,CRWV260605C00125000,SELL,FILLED,2,2,@5.65,5.65,DAY,2026-06-01T14:10:21.600Z,2026-06-01T14:10:21.752Z
QCOM260605P00215000,QCOM260605P00215000,SELL,FILLED,1,1,@3.95,3.95,DAY,2026-06-01T14:08:58.799Z,2026-06-01T14:09:08.439Z
CRWV260605C00125000,CRWV260605C00125000,BUY,FILLED,2,2,@5.85,5.85,DAY,2026-06-01T14:08:51.808Z,2026-06-01T14:08:51.963Z
IREN260618C00057000,IREN260618C00057000,SELL,FILLED,3,3,@8.1,8.1,DAY,2026-06-01T14:03:54.743Z,2026-06-01T14:04:03.880Z
QCOM260605P00215000,QCOM260605P00215000,BUY,FILLED,1,1,@5.2,5.2,DAY,2026-06-01T14:03:31.173Z,2026-06-01T14:03:31.213Z
NVDA260615C00230000,NVDA260615C00230000,SELL,FILLED,2,2,@3.35,3.35,DAY,2026-06-01T14:02:15.756Z,2026-06-01T14:02:28.576Z
MSTR260612P00140000,MSTR260612P00140000,BUY,FILLED,1,1,@4.05,4.05,DAY,2026-06-01T13:59:40.228Z,2026-06-01T13:59:40.265Z
GLD260717C00410000,GLD260717C00410000,SELL,FILLED,1,1,@13.6,13.6,DAY,2026-06-01T13:59:09.938Z,2026-06-01T13:59:10.048Z
USO260618C00145000,USO260618C00145000,BUY,CANCELLED,0,2,@4.75,,DAY,2026-06-01T13:58:35.589Z,
USO260603C00150000,USO260603C00150000,SELL,FILLED,7,7,@0.55,0.55,DAY,2026-06-01T13:56:24.316Z,2026-06-01T13:56:35.821Z
CRWV260605C00125000,CRWV260605C00125000,SELL,FILLED,2,2,@3.6,3.6,DAY,2026-06-01T13:50:24.015Z,2026-06-01T13:50:24.054Z
IREN260605C00062000,IREN260605C00062000,BUY,FILLED,3,3,,3.8,DAY,2026-06-01T13:48:25.273Z,2026-06-01T13:48:25.415Z
CRWV260605C00125000,CRWV260605C00125000,BUY,FILLED,2,2,@4.6,4.4,DAY,2026-06-01T13:48:05.256Z,2026-06-01T13:48:05.403Z
FLNC260618C00032000,FLNC260618C00032000,SELL,FILLED,3,3,@1.1,1.1,DAY,2026-06-01T13:47:20.440Z,2026-06-01T13:47:20.497Z
COIN260612P00165000,COIN260612P00165000,SELL,FILLED,3,3,@3.25,3.25,DAY,2026-06-01T13:47:07.394Z,2026-06-01T13:47:07.448Z
NVDA260615C00230000,NVDA260615C00230000,SELL,FILLED,2,2,@3.35,3.35,DAY,2026-06-01T13:45:11.264Z,2026-06-01T13:45:11.347Z
USO260618C00145000,USO260618C00145000,BUY,CANCELLED,0,1,@4.35,,DAY,2026-06-01T13:42:50.350Z,
COIN260605P00170000,COIN260605P00170000,SELL,FILLED,1,1,@2.77,2.77,DAY,2026-06-01T13:41:36.235Z,2026-06-01T13:41:36.315Z
MSTR260612P00140000,MSTR260612P00140000,SELL,FILLED,2,2,@4.5,4.5,DAY,2026-06-01T13:39:24.456Z,2026-06-01T13:39:34.120Z
NVDA260615C00230000,NVDA260615C00230000,BUY,FILLED,2,2,@3.95,3.95,DAY,2026-06-01T13:38:56.725Z,2026-06-01T13:38:56.834Z
NVDA260615C00230000,NVDA260615C00230000,BUY,FILLED,3,3,@3.75,3.75,DAY,2026-06-01T13:34:00.325Z,2026-06-01T13:34:00.362Z
MU260605P00815000,MU260605P00815000,SELL,FILLED,1,1,@4.3,4.3,DAY,2026-06-01T13:32:41.343Z,2026-06-01T13:32:41.384Z
FLNC260618C00032000,FLNC260618C00032000,BUY,FILLED,3,3,@1.4,1.4,DAY,2026-06-01T13:32:22.536Z,2026-06-01T13:32:22.585Z
MSTR260612P00140000,MSTR260612P00140000,BUY,FILLED,3,3,@4.9,4.9,DAY,2026-06-01T13:30:41.807Z,2026-06-01T13:30:41.935Z
MU260605P00815000,MU260605P00815000,SELL,FILLED,1,1,@10.1,10.1,DAY,2026-05-29T19:55:14.617Z,2026-05-29T19:55:21.871Z
MU260605P00815000,MU260605P00815000,BUY,FILLED,1,1,@11.15,11.04,DAY,2026-05-29T19:52:27.727Z,2026-05-29T19:52:27.896Z
USO260603C00150000,USO260603C00150000,BUY,FILLED,15,15,@0.34,0.3,DAY,2026-05-29T19:22:34.324Z,2026-05-29T19:22:34.365Z
MU260529C01020000,MU260529C01020000,SELL,FILLED,1,1,@0.06,0.06,DAY,2026-05-29T19:16:29.725Z,2026-05-29T19:16:29.801Z
IREN260605P00056000,IREN260605P00056000,BUY,FILLED,3,3,@1.5,1.48,DAY,2026-05-29T19:04:31.337Z,2026-05-29T19:04:31.489Z
MU260605P00815000,MU260605P00815000,BUY,FILLED,1,1,@11.5,11.5,DAY,2026-05-29T18:40:39.231Z,2026-05-29T18:40:39.290Z
MU260605P00815000,MU260605P00815000,SELL,FILLED,1,1,@10.6,10.6,DAY,2026-05-29T17:51:33.844Z,2026-05-29T17:51:38.210Z
MU260605P00815000,MU260605P00815000,BUY,FILLED,1,1,@11.15,10.85,DAY,2026-05-29T17:33:03.232Z,2026-05-29T17:33:03.267Z
MU260605C01145000,MU260605C01145000,SELL,FILLED,1,1,@9.4,9.4,DAY,2026-05-29T17:16:11.826Z,2026-05-29T17:16:11.865Z
IREN260605C00062000,IREN260605C00062000,SELL,FILLED,3,3,@3.7,3.72,DAY,2026-05-29T16:49:54.441Z,2026-05-29T16:49:54.605Z
GLD260717C00410000,GLD260717C00410000,SELL,FILLED,1,1,@19.75,19.75,DAY,2026-05-29T16:49:10.883Z,2026-05-29T16:49:10.932Z
IREN260717C00050000,IREN260717C00050000,SELL,FILLED,2,2,@15.75,15.75,DAY,2026-05-29T16:48:53.518Z,2026-05-29T16:48:59.595Z
GLD260717C00410000,GLD260717C00410000,BUY,FILLED,2,2,@20.25,20.1,DAY,2026-05-29T16:17:39.906Z,2026-05-29T16:17:40.044Z
MU260605C01145000,MU260605C01145000,BUY,FILLED,1,1,@11.45,11.45,DAY,2026-05-29T15:12:45.657Z,2026-05-29T15:13:03.881Z
IREN260717C00050000,IREN260717C00050000,BUY,FILLED,1,1,@18.55,18.29,DAY,2026-05-29T15:11:41.546Z,2026-05-29T15:11:41.684Z
IREN260717C00050000,IREN260717C00050000,BUY,FILLED,1,1,@18.25,18.21,DAY,2026-05-29T15:07:36.524Z,2026-05-29T15:07:56.585Z
COIN260612P00165000,COIN260612P00165000,BUY,FILLED,3,3,@3.25,3.1,DAY,2026-05-29T14:47:15.843Z,2026-05-29T14:47:15.891Z
ARKK260717C00078000,ARKK260717C00078000,SELL,FILLED,3,3,@5.7,5.73,DAY,2026-05-29T14:43:19.681Z,2026-05-29T14:43:27.945Z
IREN260717C00050000,IREN260717C00050000,SELL,FILLED,1,1,@15.85,15.85,DAY,2026-05-29T14:43:03.870Z,2026-05-29T14:43:09.274Z
ARKK260717C00078000,ARKK260717C00078000,SELL,FILLED,3,3,@5.75,5.76,DAY,2026-05-29T14:41:40.481Z,2026-05-29T14:41:44.796Z
ARKK260612C00085000,ARKK260612C00085000,SELL,FILLED,10,10,@0.73,0.73,DAY,2026-05-29T14:41:28.122Z,2026-05-29T14:41:28.353Z
IREN260717C00050000,IREN260717C00050000,SELL,FILLED,1,1,@15.3,15.35,DAY,2026-05-29T14:41:10.901Z,2026-05-29T14:41:16.215Z
NVDA260612C00230000,NVDA260612C00230000,SELL,FILLED,5,5,@2.04,2.04,DAY,2026-05-29T14:39:16.581Z,2026-05-29T14:39:16.720Z
ARKK260717C00078000,ARKK260717C00078000,SELL,CANCELLED,0,6,@6.25,,DAY,2026-05-29T14:38:47.945Z,
COIN260605P00170000,COIN260605P00170000,BUY,FILLED,1,1,@2.27,2.27,DAY,2026-05-29T14:34:59.199Z,2026-05-29T14:34:59.240Z
MSFT260601C00452500,MSFT260601C00452500,SELL,FILLED,4,4,@1.26,1.3,DAY,2026-05-29T14:08:29.602Z,2026-05-29T14:08:37.826Z
MU260605C01145000,MU260605C01145000,SELL,FILLED,1,1,@12.65,12.65,DAY,2026-05-29T14:07:37.753Z,2026-05-29T14:07:48.816Z
MU260605C01145000,MU260605C01145000,BUY,FILLED,1,1,@12.6,12.6,DAY,2026-05-29T14:07:14.222Z,2026-05-29T14:07:14.272Z
MU260605C01145000,MU260605C01145000,SELL,FILLED,1,1,@12.75,12.75,DAY,2026-05-29T14:02:07.177Z,2026-05-29T14:02:14.664Z
IREN260529P00063000,IREN260529P00063000,SELL,FILLED,3,3,@0.78,0.78,DAY,2026-05-29T13:58:39.690Z,2026-05-29T13:58:39.786Z
NVDA260612C00230000,NVDA260612C00230000,BUY,FILLED,5,5,@2.2,2.2,DAY,2026-05-29T13:55:02.754Z,2026-05-29T13:55:02.818Z
MSFT260601C00452500,MSFT260601C00452500,BUY,FILLED,4,4,@1.1,1.06,DAY,2026-05-29T13:53:36.592Z,2026-05-29T13:53:36.631Z
QCOM260605C00282500,QCOM260605C00282500,SELL,FILLED,1,1,,5.1,DAY,2026-05-29T13:50:15.812Z,2026-05-29T13:50:15.853Z
MU260605C01145000,MU260605C01145000,BUY,FILLED,1,1,@10.7,10.7,DAY,2026-05-29T13:48:50.874Z,2026-05-29T13:48:52.700Z
QCOM260605C00282500,QCOM260605C00282500,BUY,FILLED,1,1,@5.65,5.65,DAY,2026-05-29T13:47:34.272Z,2026-05-29T13:47:37.457Z
MSFT260601C00452500,MSFT260601C00452500,SELL,FILLED,5,5,@1.15,1.15,DAY,2026-05-29T13:45:34.253Z,2026-05-29T13:45:53.893Z
UVXY260529C00035000,UVXY260529C00035000,SELL,FILLED,30,30,@0.01,0.01,DAY,2026-05-29T13:39:51.624Z,2026-05-29T13:39:51.666Z
NVDA260608C00230000,NVDA260608C00230000,SELL,FILLED,5,5,@0.92,0.92,DAY,2026-05-29T13:35:21.331Z,2026-05-29T13:35:21.442Z
MU260605C01140000,MU260605C01140000,SELL,FILLED,1,1,@10.6,10.6,DAY,2026-05-29T13:35:15.224Z,2026-05-29T13:35:15.282Z
MSFT260601C00452500,MSFT260601C00452500,BUY,FILLED,5,5,@1.06,1.06,DAY,2026-05-29T13:34:45.483Z,2026-05-29T13:34:45.565Z
NVDA260608C00230000,NVDA260608C00230000,SELL,FILLED,5,5,@0.9,0.9,DAY,2026-05-29T13:33:58.129Z,2026-05-29T13:33:58.168Z
MU260605C01140000,MU260605C01140000,BUY,FILLED,1,1,@9.4,9.4,DAY,2026-05-29T13:30:58.929Z,2026-05-29T13:31:08.100Z
MU260529C01020000,MU260529C01020000,BUY,FILLED,1,1,@3.85,3.02,DAY,2026-05-29T13:30:35.037Z,2026-05-29T13:30:35.182Z
ARKK260717C00078000,ARKK260717C00078000,BUY,FILLED,3,3,@6.25,6.25,DAY,2026-05-28T19:16:34.916Z,2026-05-28T19:16:34.961Z
ARKK260717C00078000,ARKK260717C00078000,BUY,FILLED,3,3,@6.6,6.29,DAY,2026-05-28T19:14:34.442Z,2026-05-28T19:14:34.539Z
QCOM260605C00272500,QCOM260605C00272500,SELL,FILLED,2,2,@4,4.05,DAY,2026-05-28T18:39:21.883Z,2026-05-28T18:39:27.201Z
NVDA260608C00230000,NVDA260608C00230000,BUY,FILLED,10,10,@1.16,1.13,DAY,2026-05-28T17:51:54.006Z,2026-05-28T17:51:54.237Z
MSTR260618P00110000,MSTR260618P00110000,SELL,FILLED,18,18,@0.6,0.63,DAY,2026-05-28T17:31:58.187Z,2026-05-28T17:31:58.326Z
NBIS260605C00240000,NBIS260605C00240000,SELL,FILLED,1,1,@8.35,8.35,DAY,2026-05-28T17:22:24.127Z,2026-05-28T17:22:24.172Z
QCOM260605C00272500,QCOM260605C00272500,BUY,FILLED,2,2,@5.55,5.55,DAY,2026-05-28T17:02:12.537Z,2026-05-28T17:02:12.579Z
NBIS260605C00240000,NBIS260605C00240000,BUY,FILLED,1,1,@10.5,10.2,DAY,2026-05-28T16:52:45.698Z,2026-05-28T16:52:45.843Z
NBIS260605C00235000,NBIS260605C00235000,SELL,FILLED,1,1,@11.55,11.55,DAY,2026-05-28T15:36:34.539Z,2026-05-28T15:36:34.589Z
NBIS260605C00240000,NBIS260605C00240000,SELL,FILLED,1,1,@9.7,9.7,DAY,2026-05-28T15:36:23.117Z,2026-05-28T15:36:23.153Z
NBIS260605C00240000,NBIS260605C00240000,BUY,FILLED,1,1,@11.45,11.45,DAY,2026-05-28T15:22:37.734Z,2026-05-28T15:22:37.814Z
NBIS260605C00235000,NBIS260605C00235000,BUY,FILLED,1,1,@11.25,11.05,DAY,2026-05-28T15:18:40.606Z,2026-05-28T15:18:40.741Z
ARKK260612C00085000,ARKK260612C00085000,BUY,FILLED,10,10,@0.62,0.62,DAY,2026-05-28T15:12:50.918Z,2026-05-28T15:13:22.257Z
MU260605C01130000,MU260605C01130000,SELL,FILLED,1,1,@10.2,10.2,DAY,2026-05-28T14:34:02.500Z,2026-05-28T14:34:11.403Z
INTC260605P00108000,INTC260605P00108000,SELL,FILLED,2,2,@2.2,2.2,DAY,2026-05-28T14:30:43.130Z,2026-05-28T14:30:47.859Z
MU260605C01130000,MU260605C01130000,BUY,FILLED,1,1,@10.8,10.8,DAY,2026-05-28T14:30:28.853Z,2026-05-28T14:31:07.182Z
INTC260605P00108000,INTC260605P00108000,BUY,FILLED,2,2,@2.55,2.51,DAY,2026-05-28T14:04:26.827Z,2026-05-28T14:04:26.974Z
ORCL260605C00205000,ORCL260605C00205000,SELL,FILLED,3,3,@3.8,3.8,DAY,2026-05-28T14:01:35.731Z,2026-05-28T14:01:35.769Z
ORCL260605C00205000,ORCL260605C00205000,BUY,FILLED,3,3,@3.8,3.8,DAY,2026-05-28T13:49:43.849Z,2026-05-28T13:49:47.447Z
ONDS260605C00013000,ONDS260605C00013000,SELL,FILLED,6,6,@0.85,0.88,DAY,2026-05-28T13:47:24.650Z,2026-05-28T13:47:39.461Z
BNO260605P00047000,BNO260605P00047000,SELL,FILLED,8,8,@0.6,0.6,DAY,2026-05-28T13:44:30.855Z,2026-05-28T14:13:04.559Z
ORCL260605C00205000,ORCL260605C00205000,SELL,FILLED,3,3,@3.15,3.17,DAY,2026-05-28T13:44:03.753Z,2026-05-28T13:44:12.301Z
NVDA260610C00240000,NVDA260610C00240000,SELL,FILLED,20,20,@0.56,0.56,DAY,2026-05-28T13:43:49.577Z,2026-05-28T13:44:21.064Z
MSTR260618P00110000,MSTR260618P00110000,BUY,FILLED,18,18,@0.91,0.77,DAY,2026-05-28T13:39:29.933Z,2026-05-28T13:39:30.074Z
ONDS260605C00013000,ONDS260605C00013000,BUY,FILLED,3,3,@0.81,0.81,DAY,2026-05-28T13:35:27.789Z,2026-05-28T13:35:27.828Z
ONDS260605C00013000,ONDS260605C00013000,BUY,FILLED,3,3,@0.8,0.69,DAY,2026-05-28T13:34:50.717Z,2026-05-28T13:34:50.755Z
ORCL260605C00205000,ORCL260605C00205000,BUY,FILLED,3,3,@3.5,3.5,DAY,2026-05-28T13:34:07.358Z,2026-05-28T13:34:07.843Z
IREN260529P00063000,IREN260529P00063000,BUY,FILLED,3,3,@1.11,1.05,DAY,2026-05-28T13:33:16.501Z,2026-05-28T13:33:16.537Z
META260605C00650000,META260605C00650000,SELL,FILLED,1,1,@9.5,9.5,DAY,2026-05-28T13:31:54.413Z,2026-05-28T13:32:03.918Z
META260605C00645000,META260605C00645000,SELL,FILLED,1,1,@13.45,13.45,DAY,2026-05-28T13:30:32.541Z,2026-05-28T13:30:32.587Z
META260605C00650000,META260605C00650000,SELL,FILLED,1,1,@9.7,9.7,DAY,2026-05-27T19:19:44.693Z,2026-05-27T19:19:44.784Z
BNO260605P00047000,BNO260605P00047000,BUY,FILLED,8,8,@0.6,0.6,DAY,2026-05-27T19:00:46.355Z,2026-05-27T19:00:46.403Z
META260605C00645000,META260605C00645000,SELL,FILLED,1,1,@9.65,9.65,DAY,2026-05-27T18:38:22.035Z,2026-05-27T18:38:26.394Z
INTC260605C00140000,INTC260605C00140000,SELL,FILLED,8,8,@1.4,1.42,DAY,2026-05-27T18:22:58.154Z,2026-05-27T18:22:58.190Z
META260605C00650000,META260605C00650000,BUY,FILLED,2,2,@5.75,5.75,DAY,2026-05-27T18:22:35.134Z,2026-05-27T18:22:37.419Z
TSLA260717C00420000,TSLA260717C00420000,SELL,FILLED,1,1,@42.9,43.05,DAY,2026-05-27T18:22:12.355Z,2026-05-27T18:22:12.498Z
META260605C00645000,META260605C00645000,BUY,FILLED,2,2,@4.95,4.95,DAY,2026-05-27T18:05:45.505Z,2026-05-27T18:05:45.592Z
IREN260717C00050000,IREN260717C00050000,BUY,FILLED,2,2,@19.6,19.45,DAY,2026-05-27T17:26:13.567Z,2026-05-27T17:26:13.743Z
NVDA260610C00240000,NVDA260610C00240000,BUY,FILLED,20,20,@0.56,0.56,DAY,2026-05-27T16:50:52.770Z,2026-05-27T16:50:52.961Z
SMH260529P00540000,SMH260529P00540000,SELL,FILLED,6,6,@0.55,0.58,DAY,2026-05-27T16:11:40.964Z,2026-05-27T16:11:47.814Z
SMH260529P00540000,SMH260529P00540000,BUY,FILLED,6,6,@0.8,0.77,DAY,2026-05-27T15:52:11.001Z,2026-05-27T15:52:11.137Z
SMH260529P00530000,SMH260529P00530000,BUY,CANCELLED,0,5,@0.49,,DAY,2026-05-27T15:51:25.965Z,
INTC260605C00140000,INTC260605C00140000,BUY,FILLED,8,8,@1.7,1.69,DAY,2026-05-27T14:50:32.817Z,2026-05-27T14:50:32.856Z
RELL260618C00025000,RELL260618C00025000,SELL,FILLED,10,10,@0.65,0.69,DAY,2026-05-27T14:29:15.184Z,2026-05-27T14:29:15.249Z
IREN260605C00070000,IREN260605C00070000,SELL,FILLED,2,2,@1.8,1.83,DAY,2026-05-27T14:25:32.089Z,2026-05-27T14:25:32.235Z
WOLF260717C00060000,WOLF260717C00060000,SELL,FILLED,1,1,@11.6,11.6,DAY,2026-05-27T14:25:17.282Z,2026-05-27T14:25:21.410Z
IREN260717C00047000,IREN260717C00047000,SELL,FILLED,2,2,@17.5,17.96,DAY,2026-05-27T14:24:45.959Z,2026-05-27T14:25:00.009Z
MU260605C01005000,MU260605C01005000,SELL,FILLED,1,1,@30.15,30.15,DAY,2026-05-27T14:24:31.572Z,2026-05-27T14:24:31.612Z
MU260605C01000000,MU260605C01000000,SELL,FILLED,1,1,@34.75,34.85,DAY,2026-05-27T14:11:27.473Z,2026-05-27T14:11:36.748Z
IREN260605C00070000,IREN260605C00070000,BUY,FILLED,2,2,@2.86,2.82,DAY,2026-05-27T14:03:51.871Z,2026-05-27T14:03:52.040Z
IREN260717C00047000,IREN260717C00047000,BUY,FILLED,2,2,@20.4,20.4,DAY,2026-05-27T14:02:19.241Z,2026-05-27T14:02:40.940Z
WOLF260717C00060000,WOLF260717C00060000,BUY,FILLED,1,1,@16.35,16.35,DAY,2026-05-27T13:51:47.792Z,2026-05-27T13:52:07.973Z
TSLA260717C00420000,TSLA260717C00420000,BUY,FILLED,1,1,@42.3,42.3,DAY,2026-05-27T13:51:11.815Z,2026-05-27T13:51:11.899Z
MU260605C01005000,MU260605C01005000,BUY,FILLED,1,1,@41.25,41.25,DAY,2026-05-27T13:50:37.644Z,2026-05-27T13:50:53.984Z
QQQ260527P00723000,QQQ260527P00723000,SELL,FILLED,4,4,@0.79,0.81,DAY,2026-05-27T13:49:46.738Z,2026-05-27T13:49:58.833Z
MU260605C01000000,MU260605C01000000,SELL,FILLED,1,1,@32.4,33.45,DAY,2026-05-27T13:48:03.399Z,2026-05-27T13:48:03.583Z
WOLF260717C00060000,WOLF260717C00060000,SELL,FILLED,1,1,@14.15,14.15,DAY,2026-05-27T13:47:37.542Z,2026-05-27T13:47:37.676Z
QQQ260527P00723000,QQQ260527P00723000,BUY,FILLED,4,4,@1.06,1.06,DAY,2026-05-27T13:47:15.330Z,2026-05-27T13:47:22.269Z
WOLF260717C00060000,WOLF260717C00060000,SELL,CANCELLED,0,1,@15.45,,DAY,2026-05-27T13:44:51.986Z,
TSLA260717C00420000,TSLA260717C00420000,SELL,FILLED,1,1,@42.6,42.6,DAY,2026-05-27T13:44:45.190Z,2026-05-27T13:44:45.237Z
USO260529P00127000,USO260529P00127000,SELL,FILLED,6,6,@1.18,1.18,DAY,2026-05-27T13:44:41.022Z,2026-05-27T13:44:41.059Z
WOLF260717C00060000,WOLF260717C00060000,BUY,FILLED,1,1,@15.55,15.55,DAY,2026-05-27T13:41:35.644Z,2026-05-27T13:41:35.682Z
IREN260717C00047000,IREN260717C00047000,SELL,FILLED,1,1,@17.65,17.65,DAY,2026-05-27T13:37:23.876Z,2026-05-27T13:37:23.927Z
MU260529C01010000,MU260529C01010000,SELL,FILLED,1,1,@15.85,15.85,DAY,2026-05-27T13:35:31.785Z,2026-05-27T13:35:31.858Z
MU260529C01010000,MU260529C01010000,BUY,FILLED,1,1,@20.3,19.9,DAY,2026-05-27T13:33:44.725Z,2026-05-27T13:33:44.766Z
UVXY260529C00035000,UVXY260529C00035000,BUY,FILLED,30,30,@0.16,0.16,DAY,2026-05-26T19:49:10.021Z,2026-05-26T19:49:24.720Z
MU260529C00985000,MU260529C00985000,SELL,FILLED,1,1,@14.45,14.45,DAY,2026-05-26T19:48:09.364Z,2026-05-26T19:48:09.401Z
USO260529P00127000,USO260529P00127000,BUY,FILLED,6,6,@0.68,0.68,DAY,2026-05-26T18:01:03.426Z,2026-05-26T18:01:03.460Z
USO260529C00150000,USO260529C00150000,SELL,FILLED,8,8,@0.45,0.46,DAY,2026-05-26T18:00:21.536Z,2026-05-26T18:00:28.255Z
MU260529C00985000,MU260529C00985000,BUY,FILLED,1,1,@10.45,10.45,DAY,2026-05-26T17:18:59.562Z,2026-05-26T17:18:59.625Z
QCOM260605C00260000,QCOM260605C00260000,SELL,FILLED,1,1,@11.1,11.1,DAY,2026-05-26T15:54:01.066Z,2026-05-26T15:54:12.022Z
IREN260529C00064000,IREN260529C00064000,SELL,FILLED,2,2,@1.4,1.44,DAY,2026-05-26T15:41:20.442Z,2026-05-26T15:41:20.635Z
IREN260529C00064000,IREN260529C00064000,BUY,FILLED,2,2,@1.69,1.67,DAY,2026-05-26T15:18:24.774Z,2026-05-26T15:18:24.876Z
RELL260618C00025000,RELL260618C00025000,BUY,FILLED,10,10,@1,1,DAY,2026-05-26T14:24:22.202Z,2026-05-26T14:24:22.250Z
QCOM260605C00260000,QCOM260605C00260000,BUY,FILLED,1,1,@10.7,10.53,DAY,2026-05-26T14:18:34.322Z,2026-05-26T14:18:34.670Z
USO260529C00150000,USO260529C00150000,BUY,FILLED,8,8,@0.62,0.62,DAY,2026-05-26T13:52:12.141Z,2026-05-26T13:52:12.179Z
MU260529C00885000,MU260529C00885000,SELL,FILLED,1,1,@22.05,22.05,DAY,2026-05-26T13:51:03.152Z,2026-05-26T13:51:03.250Z
QCOM260529C00210000,QCOM260529C00210000,SELL,FILLED,1,1,@26.5,26.5,DAY,2026-05-26T13:50:38.231Z,2026-05-26T13:50:38.284Z
NVTS260529C00033000,NVTS260529C00033000,SELL,FILLED,7,7,@2.34,2.34,DAY,2026-05-26T13:43:56.645Z,2026-05-26T13:43:56.701Z
IREN260605C00064000,IREN260605C00064000,SELL,FILLED,5,5,@2.72,2.72,DAY,2026-05-26T13:43:48.023Z,2026-05-26T13:43:48.582Z
MU260529C00885000,MU260529C00885000,SELL,FILLED,1,1,@15.35,15.35,DAY,2026-05-26T13:35:12.364Z,2026-05-26T13:35:28.815Z
TSLA260717C00420000,TSLA260717C00420000,BUY,FILLED,1,1,@37.8,37.8,DAY,2026-05-26T13:32:57.729Z,2026-05-26T13:33:03.797Z
CIFR260529C00025000,CIFR260529C00025000,BUY,CANCELLED,0,10,@0.64,,DAY,2026-05-26T13:31:02.498Z,
NVTS260529C00033000,NVTS260529C00033000,BUY,FILLED,1,1,@1.23,1.21,DAY,2026-05-22T19:59:31.704Z,2026-05-22T19:59:31.838Z
NVTS260529C00033000,NVTS260529C00033000,BUY,FILLED,6,6,@1.23,1.16,DAY,2026-05-22T19:59:26.691Z,2026-05-22T19:59:26.826Z
NVTS260529C00028000,NVTS260529C00028000,SELL,FILLED,3,3,@2.9,2.9,DAY,2026-05-22T19:53:27.181Z,2026-05-22T19:53:32.332Z
NVTS260529C00028000,NVTS260529C00028000,SELL,FILLED,2,2,@2.69,2.7,DAY,2026-05-22T19:16:38.544Z,2026-05-22T19:16:38.587Z
AMD260522C00492500,AMD260522C00492500,SELL,CANCELLED,0,2,@0.01,,DAY,2026-05-22T18:40:46.100Z,
CVX260717C00175000,CVX260717C00175000,SELL,FILLED,1,1,@19.15,19.15,DAY,2026-05-22T18:40:19.650Z,2026-05-22T18:40:20.347Z
QQQ260529P00697000,QQQ260529P00697000,BUY,FILLED,50,50,@0.12,0.12,DAY,2026-05-22T18:39:22.008Z,2026-05-22T18:39:35.610Z
QQQ260529P00696000,QQQ260529P00696000,SELL,FILLED,50,50,@0.12,0.12,DAY,2026-05-22T18:39:22.008Z,2026-05-22T18:39:35.610Z
MU260605C01000000,MU260605C01000000,BUY,FILLED,2,2,@5.7,5.7,DAY,2026-05-22T17:58:40.558Z,2026-05-22T17:58:40.720Z
TSLA260605C00455000,TSLA260605C00455000,SELL,FILLED,2,2,@5.2,5.22,DAY,2026-05-22T17:58:19.023Z,2026-05-22T17:58:19.159Z
TSLA260605C00455000,TSLA260605C00455000,BUY,FILLED,2,2,@5.4,5.36,DAY,2026-05-22T15:31:13.123Z,2026-05-22T15:31:13.270Z
QCOM260529C00210000,QCOM260529C00210000,SELL,FILLED,1,1,@30.9,30.9,DAY,2026-05-22T14:48:21.582Z,2026-05-22T14:48:26.805Z
